地区,年份,标准煤,能源
浙江,2017,0,原煤
浙江,2018,0,原煤
浙江,2019,0,原煤
浙江,2020,0,原煤
浙江,2021,0,原煤
安徽,2015,9574.4772,原煤
安徽,2016,8740.1748,原煤
安徽,2017,8374.4532,原煤
安徽,2018,8151.5916,原煤
安徽,2019,7849.4427,原煤
安徽,2020,7917.3012,原煤
安徽,2021,8053.0182,原煤
福建,2015,1136.4513,原煤
福建,2016,988.5912,原煤
福建,2017,807.159,原煤
福建,2018,672.1563,原煤
福建,2019,604.2978,原煤
福建,2020,470.7237,原煤
福建,2021,391.4364,原煤
江西,2015,1622.1753,原煤
江西,2016,1112.1651,原煤
江西,2017,670.7277,原煤
江西,2018,393.5793,原煤
江西,2019,360.0072,原煤
江西,2020,224.2902,原煤
江西,2021,169.2891,原煤
山东,2015,10157.346,原煤
山东,2016,9155.8974,原煤
山东,2017,9400.188,原煤
山东,2018,8968.7508,原煤
山东,2019,8513.0274,原煤
山东,2020,7818.0135,原煤
山东,2021,6651.5616,原煤
河南,2015,9711.6228,原煤
河南,2016,8533.7421,原煤
河南,2017,8393.7393,原煤
河南,2018,8190.8781,原煤
河南,2019,7813.0134,原煤
河南,2020,7605.1521,原煤
河南,2021,6694.4196,原煤
湖北,2015,614.298,原煤
湖北,2016,424.2942,原煤
湖北,2017,225.7188,原煤
湖北,2018,85.0017,原煤
湖北,2019,29.2863,原煤
湖北,2020,28.572,原煤
湖北,2021,21.429,原煤
湖南,2015,2542.1937,原煤
湖南,2016,1990.7541,原煤
湖南,2017,1384.3134,原煤
湖南,2018,1357.17,原煤
湖南,2019,1052.1639,原煤
湖南,2020,762.8724,原煤
湖南,2021,519.2961,原煤
广东,2015,0,原煤
广东,2016,0,原煤
广东,2017,0,原煤
广东,2018,0,原煤
广东,2019,0,原煤
广东,2020,0,原煤
广东,2021,0,原煤
广西,2015,303.5775,原煤
广西,2016,309.2919,原煤
广西,2017,316.4349,原煤
广西,2018,348.5784,原煤
广西,2019,290.0058,原煤
广西,2020,295.7202,原煤
广西,2021,251.4336,原煤
海南,2015,0,原煤
海南,2016,0,原煤
海南,2017,0,原煤
海南,2018,0,原煤
海南,2019,0,原煤
海南,2020,0,原煤
海南,2021,0,原煤
重庆,2015,2544.3366,原煤
重庆,2016,1740.7491,原煤
重庆,2017,852.8742,原煤
重庆,2018,840.7311,原煤
重庆,2019,836.4453,原煤
重庆,2020,670.7277,原煤
重庆,2021,0,原煤
四川,2015,4575.8058,原煤
四川,2016,4403.6595,原煤
四川,2017,3427.9257,原煤
四川,2018,2668.6248,原煤
四川,2019,2426.4771,原煤
四川,2020,1600.032,原煤
四川,2021,1395.0279,原煤
贵州,2015,12289.5315,原煤
贵州,2016,12036.6693,原煤
贵州,2017,11674.5192,原煤
贵州,2018,10239.4905,原煤
贵州,2019,9405.9024,原煤
贵州,2020,8610.8865,原煤
贵州,2021,9451.6176,原煤
云南,2015,3702.9312,原煤
云南,2016,3276.4941,原煤
云南,2017,3339.3525,原煤
云南,2018,3266.4939,原煤
云南,2019,3945.0789,原煤
云南,2020,3950.079,原煤
云南,2021,4356.5157,原煤
西藏,2015,0,原煤
西藏,2016,0,原煤
西藏,2017,0,原煤
西藏,2018,0,原煤
西藏,2019,0,原煤
西藏,2020,0,原煤
西藏,2021,0,原煤
陕西,2015,37555.0368,原煤
